#UPS-spectrum

#Date/time: 	2018-03-26__17-34-57


#AK pressure: 	8,69E-9 	mbar
#Pass energy: 	15.0 	eV
#Volt. bias: 	-15.0 	V
#Volt. lens: 	-15.0 	V
#Step width: 	20.0 	meV
#Counttime: 	200.0 	ms
#Vor: 	16.0 	V
#Nach: 	5.0 	V
#slope: 	0.613 	V/s
#offset: 	-48.850 	V


#Slope: 	72.7 	mV/s
#Counttime: 	200.0 	ms




#E_k 	 cps 	 Ana 	 Hemi 	 Hemo 	 EP 	 Mt + 	 + meas


14,529	000000	-14,469	-13,501	-15,161	15,060	206	11
14,507	000000	-14,451	-13,483	-15,142	15,056	220	12
14,493	000000	-14,432	-13,464	-15,124	15,060	221	11
14,475	000000	-14,414	-13,446	-15,105	15,061	220	11
14,458	000000	-14,395	-13,427	-15,086	15,063	220	11
14,431	000000	-14,370	-13,402	-15,061	15,061	216	11
14,413	000000	-14,351	-13,383	-15,042	15,062	222	11
14,393	000000	-14,332	-13,364	-15,024	15,061	215	12
14,375	000000	-14,314	-13,346	-15,005	15,061	216	11
14,354	000000	-14,295	-13,327	-14,986	15,059	205	10
14,339	000000	-14,277	-13,308	-14,968	15,062	205	10
14,314	000000	-14,252	-13,283	-14,943	15,063	205	11
14,299	000000	-14,234	-13,265	-14,925	15,065	206	10
14,272	000000	-14,215	-13,247	-14,906	15,056	219	11
14,218	000000	-14,197	-13,233	-14,888	15,021	220	11
14,198	000000	-14,178	-13,214	-14,869	15,020	209	11
14,181	000000	-14,159	-13,196	-14,851	15,021	218	11
14,162	000000	-14,141	-13,177	-14,832	15,021	204	10
14,147	000000	-14,116	-13,151	-14,807	15,031	206	11
14,120	000000	-14,097	-13,133	-14,788	15,022	207	10
14,127	000000	-14,079	-13,112	-14,770	15,048	207	10
14,125	000000	-14,060	-13,091	-14,751	15,065	223	11
14,106	000000	-14,042	-13,073	-14,732	15,064	207	10
14,087	000000	-14,023	-13,054	-14,713	15,064	220	11
14,064	000000	-13,998	-13,029	-14,689	15,067	220	11
14,043	000000	-13,979	-13,010	-14,670	15,064	218	12
14,024	000000	-13,960	-12,991	-14,651	15,064	213	11
14,005	000000	-13,942	-12,972	-14,632	15,064	206	11
13,987	000000	-13,923	-12,954	-14,613	15,065	213	11
13,971	000000	-13,905	-12,935	-14,595	15,067	208	11
13,945	000000	-13,880	-12,911	-14,571	15,064	219	11
13,930	000000	-13,862	-12,893	-14,553	15,068	206	10
13,911	000000	-13,844	-12,874	-14,534	15,067	207	10
13,893	000000	-13,825	-12,856	-14,516	15,068	220	11
13,873	000000	-13,806	-12,837	-14,497	15,066	207	10
13,855	000000	-13,788	-12,819	-14,479	15,067	218	11
13,832	000000	-13,764	-12,794	-14,454	15,068	224	11
13,814	000000	-13,745	-12,775	-14,435	15,069	208	10
13,795	000000	-13,726	-12,757	-14,417	15,068	205	10
13,777	000000	-13,708	-12,738	-14,398	15,069	218	11
13,759	000000	-13,690	-12,720	-14,380	15,069	206	10
13,742	000000	-13,671	-12,702	-14,362	15,071	215	11
13,717	000000	-13,647	-12,677	-14,337	15,071	218	11
13,698	000000	-13,628	-12,658	-14,318	15,070	219	11
13,678	000000	-13,609	-12,639	-14,300	15,069	219	11
13,660	000000	-13,591	-12,621	-14,281	15,069	206	10
13,644	000000	-13,572	-12,602	-14,263	15,071	221	11
13,625	000000	-13,553	-12,583	-14,244	15,072	205	10
13,599	000000	-13,528	-12,558	-14,219	15,071	204	10
13,579	000000	-13,510	-12,540	-14,201	15,069	206	10
13,562	000000	-13,492	-12,522	-14,182	15,070	220	12
13,545	000000	-13,474	-12,503	-14,164	15,071	219	12
13,528	000000	-13,455	-12,484	-14,145	15,074	219	13
13,509	000000	-13,436	-12,466	-14,126	15,072	220	13
13,491	000000	-13,418	-12,447	-14,108	15,073	213	11
13,467	000000	-13,394	-12,423	-14,083	15,073	214	10
13,446	000000	-13,375	-12,404	-14,065	15,071	212	11
13,431	000000	-13,356	-12,385	-14,046	15,074	218	11
13,412	000000	-13,338	-12,367	-14,028	15,074	206	10
13,392	000000	-13,320	-12,349	-14,010	15,072	204	10
13,372	000000	-13,301	-12,330	-13,991	15,071	204	11
13,349	000000	-13,276	-12,305	-13,966	15,073	220	12
13,333	000000	-13,258	-12,287	-13,948	15,075	217	12
13,314	000000	-13,240	-12,268	-13,929	15,074	221	11
13,294	000000	-13,221	-12,250	-13,910	15,073	211	11
13,279	000000	-13,202	-12,231	-13,892	15,076	223	11
13,254	000000	-13,184	-12,213	-13,873	15,071	207	11
13,233	000000	-13,159	-12,188	-13,849	15,074	205	10
13,214	000000	-13,141	-12,170	-13,830	15,073	206	10
13,193	000000	-13,122	-12,151	-13,812	15,071	220	11
13,178	000000	-13,104	-12,133	-13,793	15,074	209	13
13,160	000000	-13,085	-12,113	-13,774	15,075	216	12
13,141	000000	-13,067	-12,095	-13,756	15,075	206	11
13,117	000000	-13,042	-12,070	-13,731	15,075	220	11
13,100	000000	-13,023	-12,052	-13,713	15,077	215	11
13,080	000000	-13,005	-12,033	-13,694	15,075	223	12
13,066	000000	-12,986	-12,014	-13,676	15,080	206	12
13,045	000000	-12,968	-11,996	-13,657	15,078	206	10
